pit_id,block_id,fold
0,77,2
1,77,2
2,77,2
3,90,2
4,65,3
5,78,3
6,53,4
7,53,4
8,53,4
9,65,3
10,65,3
11,52,1
12,64,0
13,64,0
14,64,0
15,64,0
16,64,0
17,64,0
18,77,2
19,77,2
20,77,2
21,78,3
22,77,2
23,90,2
24,78,3
25,66,4
26,78,3
27,79,1
28,79,1
29,79,1
30,91,2
31,90,2
32,89,4
33,89,4
34,88,4
35,88,4
36,88,4
37,75,1
38,87,4
39,87,4
40,87,4
41,99,3
42,99,3
43,99,3
44,99,3
45,98,4
46,98,4
47,87,4
48,87,4
49,87,4
50,86,0
51,76,3
52,76,3
53,76,3
54,76,3
55,76,3
56,76,3
57,76,3
58,75,1
59,75,1
60,87,4
61,76,3
62,65,3
63,64,0
64,65,3
65,66,4
66,66,4
67,66,4
68,54,1
69,54,1
70,54,1
71,54,1
72,54,1
73,42,3
74,42,3
75,54,1
76,54,1
77,43,2
78,55,2
79,55,2
80,55,2
81,55,2
82,55,2
83,55,2
84,55,2
85,66,4
86,66,4
87,67,4
88,67,4
89,67,4
90,67,4
91,67,4
92,67,4
93,67,4
94,66,4
95,79,1
96,78,3
97,78,3
98,79,1
99,79,1
100,91,2
101,91,2
102,91,2
103,90,2
104,89,4
105,52,1
106,52,1
107,40,0
108,52,1
109,77,2
110,5,4
111,20,2
112,21,2
113,41,1
114,41,1
115,41,1
116,41,1
117,41,1
118,29,1
119,18,0
120,18,0
121,45,4
122,57,3
123,58,3
124,58,3
125,58,3
126,59,1
127,58,3
128,59,1
129,59,1
130,59,1
131,59,1
132,59,1
133,59,1
134,59,1
135,71,0
136,59,1
137,71,0
138,70,1
139,71,0
140,83,0
141,83,0
142,83,0
143,83,0
144,83,0
145,83,0
146,95,0
147,95,0
148,95,0
149,95,0
150,95,0
151,95,0
152,107,0
153,95,0
154,107,0
155,107,0
156,107,0
157,107,0
158,119,0
159,119,0
160,119,0
161,119,0
162,119,0
163,131,4
164,131,4
165,119,0
166,131,4
167,131,4
168,131,4
169,131,4
170,143,4
171,131,4
172,131,4
173,143,4
174,130,1
175,118,0
176,118,0
177,118,0
178,118,0
179,130,1
180,129,3
181,117,2
182,117,2
183,117,2
184,105,3
185,104,3
186,105,3
187,106,1
188,93,3
189,105,3
190,93,3
191,92,1
192,93,3
193,104,3
194,92,1
195,92,1
196,92,1
197,103,1
198,104,3
199,116,0
200,116,0
201,116,0
202,116,0
203,128,0
204,116,0
205,116,0
206,128,0
207,127,3
208,128,0
209,128,0
210,128,0
211,129,3
212,129,3
213,129,3
214,129,3
215,142,3
216,141,0
217,142,3
218,141,0
219,141,0
220,141,0
221,141,0
222,140,4
223,140,4
224,140,4
225,140,4
226,127,3
227,126,2
228,114,3
229,115,4
230,115,4
231,114,3
232,138,1
233,137,2
234,137,2
235,125,4
236,136,3
237,124,0
238,136,3
239,136,3
240,135,1
241,135,1
242,135,1
243,134,2
244,134,2
245,134,2
246,134,2
247,133,1
248,133,1
249,133,1
250,133,1
251,133,1
252,132,4
253,132,4
254,133,1
255,133,1
256,132,4
257,120,1
258,120,1
259,120,1
260,120,1
261,108,3
262,108,3
263,120,1
264,108,3
265,108,3
266,108,3
267,108,3
268,96,2
269,108,3
270,109,1
271,84,3
272,84,3
273,84,3
274,84,3
275,84,3
276,72,2
277,72,2
278,72,2
279,72,2
280,72,2
281,39,0
282,39,0
283,51,1
284,50,2
285,50,2
286,50,2
287,50,2
288,50,2
289,50,2
290,38,4
291,38,4
292,38,4
293,38,4
294,37,2
295,49,2
296,49,2
297,48,4
298,36,4
299,36,4
300,36,4
301,49,2
302,49,2
303,48,4
304,48,4
305,48,4
306,48,4
307,48,4
308,48,4
309,48,4
310,49,2
311,61,0
312,61,0
313,61,0
314,60,4
315,60,4
316,60,4
317,60,4
318,60,4
319,61,0
320,61,0
321,61,0
322,61,0
323,62,2
324,62,2
325,50,2
326,62,2
327,50,2
328,51,1
329,51,1
330,51,1
331,63,3
332,63,3
333,62,2
334,62,2
335,62,2
336,62,2
337,62,2
338,62,2
339,63,3
340,64,0
341,75,1
342,74,2
343,74,2
344,74,2
345,61,0
346,73,1
347,73,1
348,73,1
349,72,2
350,73,1
351,73,1
352,73,1
353,84,3
354,84,3
355,84,3
356,84,3
357,84,3
358,74,2
359,74,2
360,74,2
361,73,1
362,73,1
363,73,1
364,85,1
365,74,2
366,74,2
367,100,2
368,99,3
369,111,2
370,28,3
371,28,3
372,28,3
373,39,0
374,28,3
375,15,4
376,15,4
377,15,4
378,15,4
379,14,3
380,15,4
381,2,0
382,2,0
383,3,0
384,3,0
385,13,0
386,13,0
387,13,0
388,13,0
389,25,0
390,25,0
391,25,0
392,12,4
393,24,3
394,12,4
395,0,1
396,0,1
397,0,1
398,43,2
399,44,0
400,43,2
401,43,2
402,43,2
403,42,3
404,54,1
405,53,4
406,68,2
407,68,2
408,68,2
409,80,2
410,80,2
411,81,4
412,70,1
413,69,2
414,70,1
415,59,1
416,70,1
417,83,0
418,82,3
419,94,3
420,106,1
421,107,0
422,119,0
423,122,1
424,122,1
425,134,2
