fold,objective,prob_threshold,val_score,n_heldout,n_pred_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,locate,locate_hits
0,f1,0.55,0.7241379310344829,130,180,0.9307692307692308,0.6722222222222223,0.7806451612903226,0.7846153846153846,0.9230769230769232,120
0,f2,0.55,0.8076923076923076,130,180,0.9307692307692308,0.6722222222222223,0.7806451612903226,0.7846153846153846,0.9230769230769232,120
1,f1,0.6,0.773109243697479,129,197,0.9147286821705426,0.5989847715736041,0.7239263803680982,0.8062015503875969,0.9457364341085271,122
1,f2,0.5,0.8492201039861352,129,214,0.9224806201550388,0.5560747663551402,0.6938775510204082,0.7906976744186046,0.9224806201550388,119
2,f1,0.55,0.7781818181818182,129,214,0.9457364341085271,0.5700934579439252,0.7113702623906705,0.8217054263565892,0.937984496124031,121
2,f2,0.55,0.8756137479541737,129,214,0.9457364341085271,0.5700934579439252,0.7113702623906705,0.8217054263565892,0.937984496124031,121
3,f1,0.6,0.7716535433070866,132,211,0.8939393939393939,0.5592417061611374,0.6880466472303207,0.7878787878787878,0.8939393939393939,118
3,f2,0.55,0.8576329331046312,132,205,0.8787878787878788,0.5658536585365853,0.688427299703264,0.7575757575757576,0.8484848484848485,112
4,f1,0.65,0.7567567567567568,130,182,0.9,0.6428571428571429,0.75,0.7076923076923077,0.9384615384615385,122
4,f2,0.55,0.8201892744479495,130,198,0.9230769230769231,0.6060606060606061,0.7317073170731707,0.7846153846153846,0.9153846153846154,119
