plat_id,block_id,split,centroid_x,centroid_y,area_m2
0,84.0,val,619685.152634352,4595966.38076067,2685.6980794715228
1,,unused,698617.1131401842,4650194.055757051,495.12400827783165
2,,unused,698564.2406078344,4650133.16022333,745.6198918383532
3,,unused,698679.6013540878,4650139.829404932,814.6918983912784
4,,unused,698726.4787875628,4650201.1622330835,851.9280661843187
5,,unused,698676.9561919657,4650255.7362587815,526.4910701790317
6,,unused,698720.154709445,4650318.5721452385,436.2597054504743
7,,unused,698673.4694344888,4650374.700511102,552.0810320506563
8,,unused,698793.6060233692,4650379.342441924,789.0409605142357
9,,unused,698787.8708169563,4650422.118829834,260.5328079060287
10,,unused,698611.3947591073,4650312.177242169,410.05601073588076
11,,unused,698492.2165849329,4650304.922701917,697.9515597841948
12,,unused,698559.5616199555,4650246.386384656,841.1712309465369
13,,unused,698432.3700535158,4650240.064622057,797.357680804069
14,,unused,698373.2844755576,4650310.597651667,568.4312765110249
15,,unused,698553.5967932603,4650366.782231254,553.5788651697579
16,,unused,698724.5432206164,4650441.528430713,741.1280484266495
17,,unused,698785.7676533787,4650496.264593588,684.51639295519
18,,unused,698729.5474884885,4650549.58747939,675.0367675998963
19,,unused,698834.1438837452,4650559.818720304,582.4756820785013
20,,unused,698889.2805846208,4650600.092012138,866.4162359824694
21,,unused,698785.7054784838,4650604.397644723,715.8491381331767
22,,unused,698826.1488470326,4650670.356157487,575.686096133096
23,,unused,698779.2958793624,4650729.292428714,672.7274152446571
24,,unused,698723.2023158309,4650667.316972598,732.0575846469311
25,,unused,698819.9897417487,4650788.858263405,604.4861471280082
26,,unused,698773.1333513157,4650849.442756719,831.773498671168
27,,unused,698663.1274011922,4650607.978546895,701.327187783758
28,,unused,698603.5080235031,4650542.315711559,798.7451339370426
29,,unused,698670.2626145002,4650493.824575953,443.16080554105434
30,,unused,698547.6316104813,4650484.978254821,572.6501270072323
31,,unused,698368.5093322048,4650549.599561296,652.4599632525716
32,,unused,698408.4526221622,4650592.797151503,488.5144686197285
33,,unused,698661.0047628966,4650835.7801200235,877.6331159409178
34,,unused,698710.5099581092,4650895.55026343,550.8587281165602
35,,unused,698523.499151095,4650951.503545296,622.5708615973817
36,,unused,698303.044111733,4650824.084457641,762.5225698225612
37,,unused,698241.3669380739,4650765.164370645,671.4137306411544
38,,unused,698284.3236716596,4650689.991233122,570.8973082162059
39,,unused,698189.9842934981,4650760.935285957,441.7222765170125
40,,unused,698115.8308895729,4650732.122359642,291.7891919103386
41,,unused,698152.6993155626,4650761.644369576,319.25508128022517
42,,unused,698364.3963227788,4650881.629781629,588.7005305309383
43,,unused,698495.3289581836,4650186.035912458,1232.7637278292605
44,,unused,698901.7837740462,4650728.07028036,656.2855660398054
45,,unused,698818.6210580531,4650897.071050489,574.6311066829694
46,,unused,698889.592779559,4650968.918081094,871.4435891384151
47,,unused,698425.6888603213,4650486.933059799,851.2073096332488
48,,unused,698481.5195006523,4650532.305399205,919.8496823997413
49,,unused,698545.6005023958,4650598.963072828,774.5594647306592
50,,unused,698373.5088078473,4650184.341729919,394.12496695084087
51,,unused,698715.5088419351,4651156.755089737,1041.077413595779
52,,unused,698442.805492492,4651163.803332533,985.5891623873614
53,,unused,698530.9016520153,4651255.296645677,1050.5209486886836
54,,unused,698332.1402648491,4651229.652790343,834.0896315806863
55,,unused,698276.9131043103,4651115.286211057,812.1328507124726
56,,unused,698186.62847587,4651056.492967313,955.9835360718137
57,,unused,698231.0039692961,4650992.506596883,751.3876569653868
58,,unused,698343.7466840084,4650993.105757911,859.3457619491826
59,,unused,698416.9340360941,4651307.853697116,803.5366970461378
60,,unused,698255.3119906659,4651294.763746643,1164.349880061453
61,,unused,698592.7852391669,4651336.003212402,1103.8023145445009
62,,unused,698488.1752708849,4651398.402627253,931.7216974541554
63,,unused,698452.088607776,4651370.861649539,928.3611199011574
64,,unused,698874.8609768967,4651325.030942104,673.7849155504331
65,,unused,698806.7649576929,4651246.398874743,1187.428474120434
66,,unused,698805.5554938482,4651409.570400499,1239.8114569565903
67,,unused,698850.0320048209,4651510.332179404,1523.9121037184073
68,,unused,698891.1368155971,4651157.002341835,922.0874698747916
69,,unused,698805.3884058446,4651083.95128763,1132.962367524559
70,,unused,698130.7513662305,4650455.434266739,782.4019114297356
71,,unused,698605.3949958243,4650424.800375261,931.8496307777505
72,,unused,698573.4593611018,4651159.497911433,863.7434737012205
73,,unused,698525.0561821819,4651065.949727044,953.7347976383337
74,,unused,698751.8789830517,4651613.314959211,880.3771776507479
75,,unused,698978.10229482,4651716.670353827,852.7497547990013
76,,unused,698915.3424216572,4651801.302243598,716.7296216375192
77,,unused,698637.1297001321,4651682.11502038,2473.2166032001096
78,,unused,698649.5332004534,4651728.021977941,1370.6137913735388
79,,unused,698663.352846459,4651785.709493085,1173.841822418518
