pit_id,block_id,fold
0,77.0,2.0
1,77.0,2.0
2,77.0,2.0
3,90.0,2.0
4,65.0,1.0
5,78.0,3.0
6,53.0,4.0
7,53.0,4.0
8,53.0,4.0
9,65.0,1.0
10,65.0,1.0
11,52.0,4.0
12,64.0,1.0
13,64.0,1.0
14,64.0,1.0
15,64.0,1.0
16,64.0,1.0
17,64.0,1.0
18,77.0,2.0
19,77.0,2.0
20,77.0,2.0
21,78.0,3.0
22,77.0,2.0
23,90.0,2.0
24,78.0,3.0
25,66.0,2.0
26,78.0,3.0
27,79.0,4.0
28,79.0,4.0
29,79.0,4.0
30,91.0,2.0
31,90.0,2.0
32,89.0,0.0
33,89.0,0.0
34,88.0,2.0
35,88.0,2.0
36,88.0,2.0
37,75.0,0.0
38,87.0,4.0
39,87.0,4.0
40,87.0,4.0
41,99.0,0.0
42,99.0,0.0
43,99.0,0.0
44,99.0,0.0
45,98.0,1.0
46,98.0,1.0
47,87.0,4.0
48,87.0,4.0
49,87.0,4.0
50,86.0,0.0
51,76.0,0.0
52,76.0,0.0
53,76.0,0.0
54,76.0,0.0
55,76.0,0.0
56,76.0,0.0
57,76.0,0.0
58,75.0,0.0
59,75.0,0.0
60,87.0,4.0
61,76.0,0.0
62,65.0,1.0
63,64.0,1.0
64,65.0,1.0
65,66.0,2.0
66,66.0,2.0
67,66.0,2.0
68,54.0,3.0
69,54.0,3.0
70,54.0,3.0
71,54.0,3.0
72,54.0,3.0
73,42.0,2.0
74,42.0,2.0
75,54.0,3.0
76,54.0,3.0
77,43.0,4.0
78,55.0,4.0
79,55.0,4.0
80,55.0,4.0
81,55.0,4.0
82,55.0,4.0
83,55.0,4.0
84,55.0,4.0
85,66.0,2.0
86,66.0,2.0
87,67.0,3.0
88,67.0,3.0
89,67.0,3.0
90,67.0,3.0
91,67.0,3.0
92,67.0,3.0
93,67.0,3.0
94,66.0,2.0
95,79.0,4.0
96,78.0,3.0
97,78.0,3.0
98,79.0,4.0
99,79.0,4.0
100,91.0,2.0
101,91.0,2.0
102,91.0,2.0
103,90.0,2.0
104,89.0,0.0
105,52.0,4.0
106,52.0,4.0
107,40.0,4.0
108,52.0,4.0
109,77.0,2.0
110,5.0,1.0
111,20.0,2.0
112,21.0,4.0
113,41.0,0.0
114,41.0,0.0
115,41.0,0.0
116,41.0,0.0
117,41.0,0.0
118,29.0,0.0
119,18.0,4.0
120,18.0,4.0
121,45.0,2.0
122,57.0,4.0
123,58.0,4.0
124,58.0,4.0
125,58.0,4.0
126,59.0,2.0
127,58.0,4.0
128,59.0,2.0
129,59.0,2.0
130,59.0,2.0
131,59.0,2.0
132,59.0,2.0
133,59.0,2.0
134,59.0,2.0
135,71.0,2.0
136,59.0,2.0
137,71.0,2.0
138,70.0,0.0
139,71.0,2.0
140,83.0,2.0
141,83.0,2.0
142,83.0,2.0
143,83.0,2.0
144,83.0,2.0
145,83.0,2.0
146,95.0,0.0
147,95.0,0.0
148,95.0,0.0
149,95.0,0.0
150,95.0,0.0
151,95.0,0.0
152,107.0,2.0
153,95.0,0.0
154,107.0,2.0
155,107.0,2.0
156,107.0,2.0
157,107.0,2.0
158,119.0,1.0
159,119.0,1.0
160,119.0,1.0
161,119.0,1.0
162,119.0,1.0
163,131.0,3.0
164,131.0,3.0
165,119.0,1.0
166,131.0,3.0
167,131.0,3.0
168,131.0,3.0
169,131.0,3.0
170,143.0,1.0
171,131.0,3.0
172,131.0,3.0
173,143.0,1.0
174,130.0,0.0
175,118.0,2.0
176,118.0,2.0
177,118.0,2.0
178,118.0,2.0
179,130.0,0.0
180,129.0,0.0
181,117.0,3.0
182,117.0,3.0
183,117.0,3.0
184,105.0,4.0
185,104.0,3.0
186,105.0,4.0
187,106.0,4.0
188,93.0,1.0
189,105.0,4.0
190,93.0,1.0
191,92.0,0.0
192,93.0,1.0
193,104.0,3.0
194,92.0,0.0
195,92.0,0.0
196,92.0,0.0
197,103.0,0.0
198,104.0,3.0
199,116.0,4.0
200,116.0,4.0
201,116.0,4.0
202,116.0,4.0
203,128.0,3.0
204,116.0,4.0
205,116.0,4.0
206,128.0,3.0
207,127.0,4.0
208,128.0,3.0
209,128.0,3.0
210,128.0,3.0
