line_id,kind,parent_id,seg_idx,block_id,split,mid_x,mid_y,length_m
road_0_0,road,0,0,65.0,train,621505.0407051604,4595175.601634272,34.00788004318657
road_0_1,road,0,1,65.0,train,621535.6175471554,4595161.492291264,33.998814052232404
road_0_2,road,0,2,65.0,train,621568.4107945992,4595155.820243605,33.92951174051873
road_1_0,road,1,0,65.0,train,621577.476066146,4595178.210116966,36.563162784655205
road_1_1,road,1,1,65.0,train,621565.0702844326,4595212.561622573,36.54145897351842
road_1_2,road,1,2,65.0,train,621555.8735193544,4595247.869856486,36.563020791009734
road_1_3,road,1,3,77.0,train,621544.9771829249,4595282.750599683,36.55818413253492
road_1_4,road,1,4,77.0,train,621530.402404986,4595316.26585798,36.56316155639737
road_1_5,road,1,5,77.0,train,621514.5669674391,4595349.195613753,36.55911852502129
road_1_6,road,1,6,77.0,train,621498.5355936632,4595381.920276499,36.41077237933349
road_1_7,road,1,7,77.0,train,621468.6417292205,4595401.523481856,36.55894689192472
road_1_8,road,1,8,77.0,train,621438.4445122122,4595422.107421401,36.55653392486984
road_1_9,road,1,9,77.0,train,621410.8894259499,4595446.01343643,36.55873328204989
road_2_0,road,2,0,65.0,train,621595.3598102017,4595144.884253583,39.41973654587422
road_2_1,road,2,1,65.0,train,621609.751343309,4595109.128923222,39.34250747068539
road_2_2,road,2,2,65.0,train,621614.5375928392,4595070.084856097,39.411667896322506
road_2_3,road,2,3,65.0,train,621623.8267211718,4595031.782736619,39.42119027352184
road_2_4,road,2,4,65.0,train,621634.0895584683,4594993.7292387355,39.40787367186971
road_2_5,road,2,5,65.0,train,621647.9527267285,4594956.932298082,39.40862137519747
road_2_6,road,2,6,65.0,train,621652.677241502,4594918.1104947915,39.4097864863846
road_2_7,road,2,7,65.0,train,621658.8075949806,4594881.802446987,39.07377619630006
road_2_8,road,2,8,53.0,train,621689.8430326659,4594860.376790275,39.28260599183416
road_2_9,road,2,9,53.0,train,621709.886973708,4594828.676170083,39.03099421240017
road_2_10,road,2,10,53.0,train,621730.7738590535,4594795.532981529,39.4211887315927
road_2_11,road,2,11,53.0,train,621749.1916158473,4594760.7360149855,39.41585770595717
road_2_12,road,2,12,54.0,train,621764.3372858103,4594724.348036928,39.42042244794325
road_2_13,road,2,13,54.0,train,621774.1151966393,4594687.071755366,39.038756727341365
road_2_14,road,2,14,54.0,train,621804.0710683775,4594662.052064719,39.36034585724895
road_2_15,road,2,15,54.0,train,621840.7903138377,4594647.9708911395,39.41445451346744
road_2_16,road,2,16,54.0,train,621877.1805698697,4594633.222756796,39.40134291985288
road_2_17,road,2,17,54.0,train,621915.5029916434,4594624.095012993,39.40153132084101
road_2_18,road,2,18,54.0,train,621952.9991992622,4594613.341149765,39.35848018394532
road_3_0,road,3,0,53.0,train,621609.7410539861,4594718.27523633,39.1973592476668
road_3_1,road,3,1,53.0,train,621578.6385166121,4594742.031692934,39.20345808442394
road_3_2,road,3,2,53.0,train,621549.2598609488,4594767.958810315,39.1844920829597
road_3_3,road,3,3,53.0,train,621522.8514345747,4594796.7270929795,39.20525704197193
road_3_4,road,3,4,53.0,train,621500.0819574873,4594828.631900375,39.204030146180195
road_3_5,road,3,5,53.0,train,621474.3990654063,4594858.089817975,39.20529796064601
road_3_6,road,3,6,65.0,train,621445.6626039107,4594884.747001815,39.204804129840866
road_3_7,road,3,7,65.0,train,621424.3292924128,4594916.117190812,39.13147457026746
road_3_8,road,3,8,65.0,train,621438.565998708,4594950.553654219,38.785002032659946
road_3_9,road,3,9,65.0,train,621476.3501634453,4594951.811420922,39.18006267566094
road_3_10,road,3,10,65.0,train,621515.3804272286,4594952.85557166,39.19740205813079
road_3_11,road,3,11,65.0,train,621554.2137644967,4594948.288724745,39.192170409372125
road_3_12,road,3,12,65.0,train,621593.156380944,4594948.998185992,39.17236449746321
road_3_13,road,3,13,65.0,train,621628.189024771,4594963.943428789,38.974564998893904
road_4_0,road,4,0,65.0,train,621533.6241168495,4595019.181844427,31.005653157969764
road_4_1,road,4,1,65.0,train,621558.7642866769,4595001.1292245295,30.9148278632127
road_4_2,road,4,2,65.0,train,621588.3043487838,4594994.181560532,30.993470465660533
road_4_3,road,4,3,65.0,train,621619.020674247,4594993.690441606,30.96413856762263
road_5_0,road,5,0,64.0,train,621333.7931112308,4595000.944300909,38.497767974796126
road_5_1,road,5,1,64.0,train,621360.3339835167,4594973.097111448,38.50238276367057
road_5_2,road,5,2,65.0,train,621389.3013189728,4594948.191900498,37.91289033800074
road_5_3,road,5,3,65.0,train,621426.2753427161,4594955.568811113,38.48486697646951
road_6_0,road,6,0,65.0,train,621399.9106111537,4594937.975415138,24.197961383007893
road_6_1,road,6,1,65.0,train,621415.481867857,4594919.508784203,24.206218183932975
road_7_0,road,7,0,64.0,train,621301.6103578003,4595119.453598108,37.504820362375234
road_7_1,road,7,1,64.0,train,621328.5576650505,4595145.478150466,37.514982923364
road_7_2,road,7,2,64.0,train,621353.6003875936,4595173.138675956,37.50159111848189
road_7_3,road,7,3,65.0,train,621379.4895903529,4595200.064622776,37.30299403656104
road_7_4,road,7,4,65.0,train,621385.6447812754,4595233.997774432,37.475419064541875
road_7_5,road,7,5,76.0,train,621363.562883425,4595264.153927952,37.50693640133471
road_7_6,road,7,6,76.0,train,621349.3711699657,4595298.853140162,37.512568692896835
road_7_7,road,7,7,76.0,train,621341.8480017858,4595335.222585642,37.46183134648298
road_7_8,road,7,8,76.0,train,621347.9323928598,4595371.55515555,37.43021690588389
road_7_9,road,7,9,76.0,train,621349.3488390326,4595407.96558945,37.49773074536526
road_7_10,road,7,10,76.0,train,621339.372404705,4595443.94805543,37.50557770781532
road_7_11,road,7,11,76.0,train,621336.1088071155,4595481.296036349,37.50486009347219
road_7_12,road,7,12,76.0,train,621339.3819182701,4595518.606323259,37.50600942725176
road_7_13,road,7,13,76.0,train,621356.3751874162,4595551.179795016,37.44695625648668
road_8_0,road,8,0,76.0,train,621367.9383678494,4595547.673700058,37.957032638030036
road_8_1,road,8,1,76.0,train,621373.37369269,4595510.297703913,37.928619294032146
road_8_2,road,8,2,77.0,train,621389.4260298962,4595476.181445745,37.91805647748184
road_9_0,road,9,0,76.0,train,621356.5964574703,4595533.5731278965,24.458464646120426
road_10_0,road,10,0,76.0,train,621276.788100364,4595370.923114981,27.587909418797935
road_10_1,road,10,1,76.0,train,621303.843589694,4595366.939159576,27.527586513477825
road_10_2,road,10,2,76.0,train,621331.3658692135,4595367.460502648,27.57562911876458
